,rank,1_day_rolling_avg_floor_price,rw623-hyaaa-aaaah-qctcq-cai,ugdkf-taaaa-aaaak-acoia-cai,4ggk4-mqaaa-aaaae-qad6q-cai,skjpp-haaaa-aaaae-qac7q-cai,pk6rk-6aaaa-aaaae-qaazq-cai,dhiaa-ryaaa-aaaae-qabva-cai,bxdf4-baaaa-aaaah-qaruq-cai,3mttv-dqaaa-aaaah-qcn6q-cai,oeee4-qaaaa-aaaak-qaaeq-cai,times_above_floor
73941,2083,1469.42069,0,0,0,1,0,0,0,0,0,1.2249725434313845
73942,2083,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73943,2083,1700.0,0,0,0,1,0,0,0,0,0,1.7647058823529411
73944,2083,1469.42069,0,0,0,1,0,0,0,0,0,1.2249725434313845
73945,2083,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73946,2086,1469.42069,0,0,0,1,0,0,0,0,0,1.2249725434313845
73947,2086,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73948,2086,1469.42069,0,0,0,1,0,0,0,0,0,1.2249725434313845
73949,2086,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73950,2087,1469.42069,0,0,0,1,0,0,0,0,0,1.565242694384547
73951,2087,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73952,2087,1469.42069,0,0,0,1,0,0,0,0,0,1.565242694384547
73953,2087,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73954,2088,1100.0,0,0,0,1,0,0,0,0,0,1.4545454545454546
73955,2088,1400.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73956,2088,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73957,2088,1100.0,0,0,0,1,0,0,0,0,0,1.4545454545454546
73958,2088,1400.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73959,2088,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73960,2089,1200.0,0,0,0,1,0,0,0,0,0,2.0833333333333335
73961,2089,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73962,2089,1200.0,0,0,0,1,0,0,0,0,0,2.0833333333333335
73963,2089,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73964,2090,599.0,0,0,0,1,0,0,0,0,0,1.0
73965,2090,800.0,0,0,0,1,0,0,0,0,0,1.25
73966,2090,599.0,0,0,0,1,0,0,0,0,0,1.0
73967,2090,800.0,0,0,0,1,0,0,0,0,0,1.25
73968,2091,229.999999,0,0,0,1,0,0,0,0,0,9.347826127599244
73969,2091,350.0,0,0,0,1,0,0,0,0,0,1.0
73970,2091,229.999999,0,0,0,1,0,0,0,0,0,9.347826127599244
73971,2091,350.0,0,0,0,1,0,0,0,0,0,1.0
73972,2092,1390.0,0,0,0,1,0,0,0,0,0,1.0
73973,2092,229.999999,0,0,0,1,0,0,0,0,0,9.347826127599244
73974,2092,350.0,0,0,0,1,0,0,0,0,0,1.0
73975,2092,1390.0,0,0,0,1,0,0,0,0,0,1.0
73976,2092,229.999999,0,0,0,1,0,0,0,0,0,9.347826127599244
73977,2092,350.0,0,0,0,1,0,0,0,0,0,1.0
73978,2093,350.0,0,0,0,1,0,0,0,0,0,1.0
73979,2093,350.0,0,0,0,1,0,0,0,0,0,1.0
73980,2094,800.0,0,0,0,1,0,0,0,0,0,1.15625
73981,2094,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73982,2094,800.0,0,0,0,1,0,0,0,0,0,1.15625
73983,2094,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73984,2095,1297.0,0,0,0,1,0,0,0,0,0,1.079414032382421
73985,2095,1400.0,0,0,0,1,0,0,0,0,0,1.2285714285714286
73986,2095,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73987,2095,1297.0,0,0,0,1,0,0,0,0,0,1.079414032382421
73988,2095,1400.0,0,0,0,1,0,0,0,0,0,1.2285714285714286
73989,2095,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73990,2096,1700.0,0,0,0,1,0,0,0,0,0,1.3529411764705883
73991,2096,1500.0,0,0,0,1,0,0,0,0,0,1.2333333333333334
73992,2096,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73993,2096,1700.0,0,0,0,1,0,0,0,0,0,1.3529411764705883
73994,2096,1500.0,0,0,0,1,0,0,0,0,0,1.2333333333333334
73995,2096,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73996,2097,350.0,0,0,0,1,0,0,0,0,0,1.0
73997,2097,350.0,0,0,0,1,0,0,0,0,0,1.0
73998,2098,980.0,0,0,0,1,0,0,0,0,0,1.0204081632653061
73999,2098,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
74000,2098,980.0,0,0,0,1,0,0,0,0,0,1.0204081632653061
74001,2098,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
74002,2099,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74003,2099,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74004,2100,499.899999,0,0,0,1,0,0,0,0,0,1.5003000630132028
74005,2100,350.0,0,0,0,1,0,0,0,0,0,1.0
74006,2100,499.899999,0,0,0,1,0,0,0,0,0,1.5003000630132028
74007,2100,350.0,0,0,0,1,0,0,0,0,0,1.0
74008,2101,1010.0,0,0,0,1,0,0,0,0,0,4.158415841584159
74009,2101,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74010,2101,1010.0,0,0,0,1,0,0,0,0,0,4.158415841584159
74011,2101,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74012,2102,229.999999,0,0,0,1,0,0,0,0,0,7.8260869905482044
74013,2102,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74014,2102,229.999999,0,0,0,1,0,0,0,0,0,7.8260869905482044
74015,2102,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74016,2103,350.0,0,0,0,1,0,0,0,0,0,1.0
74017,2103,350.0,0,0,0,1,0,0,0,0,0,1.0
74018,2104,350.0,0,0,0,1,0,0,0,0,0,1.0
74019,2104,350.0,0,0,0,1,0,0,0,0,0,1.0
74020,2105,2200.0,0,0,0,1,0,0,0,0,0,1.0904545454545456
74021,2105,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74022,2105,2200.0,0,0,0,1,0,0,0,0,0,1.0904545454545456
74023,2105,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74024,2106,488.999999,0,0,0,1,0,0,0,0,0,1.2269938675398648
74025,2106,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74026,2106,488.999999,0,0,0,1,0,0,0,0,0,1.2269938675398648
74027,2106,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74028,2107,350.0,0,0,0,1,0,0,0,0,0,1.0
74029,2107,350.0,0,0,0,1,0,0,0,0,0,1.0
74030,2108,350.0,0,0,0,1,0,0,0,0,0,1.0
74031,2108,350.0,0,0,0,1,0,0,0,0,0,1.0
74032,2109,950.0,0,0,0,1,0,0,0,0,0,1.0
74033,2109,350.0,0,0,0,1,0,0,0,0,0,1.0
74034,2109,950.0,0,0,0,1,0,0,0,0,0,1.0
74035,2109,350.0,0,0,0,1,0,0,0,0,0,1.0
74036,2110,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74037,2110,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74038,2111,350.0,0,0,0,1,0,0,0,0,0,1.0
74039,2111,350.0,0,0,0,1,0,0,0,0,0,1.0
74040,2112,350.0,0,0,0,1,0,0,0,0,0,1.0
74041,2112,350.0,0,0,0,1,0,0,0,0,0,1.0
74042,2113,1700.0,0,0,0,1,0,0,0,0,0,1.5011764705882353
74043,2113,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74044,2113,1700.0,0,0,0,1,0,0,0,0,0,1.5011764705882353
74045,2113,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
74046,2114,350.0,0,0,0,1,0,0,0,0,0,1.0
74047,2114,350.0,0,0,0,1,0,0,0,0,0,1.0
74048,2116,1500.0,0,0,0,1,0,0,0,0,0,2.3333333333333335
